search query,article date,article title,article summary
hurricane harvey,2018-09-13T09:00:01+0000,Readers Respond to the 9.2.18 Issue,"Here’s what they had to say about Riz Ahmed, and the failure of emergency systems to provide help during natural disasters."
hurricane harvey,2018-09-09T02:13:20+0000,"Corrections: September 9, 2018","Corrections appearing in print on Sunday, September 9, 2018."
hurricane harvey,2018-09-13T22:53:52+0000,Florence’s Floodwaters Breach Coal Ash Pond and Imperil Other Toxic Sites,"The storm has begun washing coal ash, which contains toxic residue, out of a storage pond in North Carolina. The flooding is also raising fears about Superfund sites, chemical plants and hog farms with waste lagoons."
hurricane harvey,2018-09-02T17:00:04+0000,"Summer Winds Down, and Big Tech Is Called Before Congress","The newest jobs numbers are expected to show healthy gains, and Detroit automakers will report sales for August."
hurricane harvey,2018-09-01T09:00:10+0000,11 of Our Best Weekend Reads,Ethan Hawke still takes himself very seriously. The vanishing puffins. A beach villain for our times. The man who took on the pope. Louis C.K. is back. And more.
hurricane harvey,2018-09-04T22:18:11+0000,"Brett Kavanaugh, Colin Kaepernick, Amazon: Your Tuesday Evening Briefing",Here’s what you need to know at the end of the day.
hurricane harvey,2018-09-14T09:00:05+0000,When You’re Elderly and Ill and a Storm Is Coming,"In the face of a storm, many people who are older and chronically ill either cannot or will not leave. The best bet is to make an emergency kit, plan ahead and stay informed."
hurricane harvey,2018-09-11T14:02:01+0000,"Plunder My Songbook, Bob Dylan Said. So He Did.","Conor McPherson discusses digging deep into the Dylan catalog for his Depression-era play with music, “Girl From the North Country.”"
hurricane harvey,2018-09-15T15:20:02+0000,Torrents of Water in Towns Across the Carolinas. And a Guy With a Boat.,An improvised network of volunteers has sprung up to locate and rescue people who did not evacuate for Tropical Storm Florence.
hurricane harvey,2018-09-14T09:00:10+0000,The Key to Happiness Might Be as Simple as a Library or a Park,"Eric Klinenberg’s “Palaces for the People” explores the civic value of social infrastructure, those public spaces that allow for human connection."
hurricane harvey,2018-09-04T09:45:01+0000,"Brett Kavanaugh, Jeff Sessions, Colin Kaepernick: Your Tuesday Briefing",Here’s what you need to know to start your day.
hurricane harvey,2018-09-05T22:07:13+0000,"Trump, Ayanna Pressley, Brett Kavanaugh: Your Wednesday Evening Briefing",Here’s what you need to know at the end of the day.
hurricane harvey,2018-09-20T21:51:10+0000,On Politics With Lisa Lerer: Her Story? Or Theirs?,"How a #MeToo story gets transformed into a political football, previewing the Beto-Cruz debate, and the president’s approval rating."
hurricane harvey,2018-09-24T10:06:45+0000,DealBook Briefing: Was Sky Worth It?,Comcast beat 21st Century Fox to acquire the British broadcaster Sky with a $39 billion bid. It may be paying over the odds.
hurricane harvey,2018-09-24T20:00:03+0000,Puerto Rico sigue en ruinas a un año del huracán María,"The New York Times visitó más de 150 hogares en Punta Santiago, donde documentó la permanencia de los daños un año después del huracán María."
hurricane harvey,2018-09-12T18:07:14+0000,"Classical Fall Preview: Debuts, Premieres, a New Philharmonic Maestro",Our classical music editor offers more than 100 highlights from the coming season.
hurricane harvey,2018-10-18T19:44:01+0000,Houston Seeks $2B More for Hurricane Harvey Housing Recovery,Houston officials are preparing to request an additional $2 billion from Congress to provide more assistance to residents whose homes were damaged by Hurricane Harvey.
hurricane harvey,2018-10-11T16:23:36+0000,Why Hurricane Michael’s Power Caught Forecasters Off Guard,"Predicting the storm’s path was straightforward, but a number of factors contributed to its sudden intensification."
